P||bin,Ptbin,cross_section,statistical_uncertainty,total_uncertainty
4,1,1.76e-40,1.01e-41,1.51e-41
4,2,7.00e-40,2.02e-41,5.61e-41
4,3,1.69e-39,2.73e-41,1.16e-40
4,4,2.90e-39,4.30e-41,1.96e-40
4,5,4.28e-39,5.31e-41,2.88e-40
4,6,5.33e-39,6.01e-41,3.23e-40
4,7,6.28e-39,6.90e-41,3.66e-40
4,8,7.37e-39,5.53e-41,4.00e-40
4,9,7.77e-39,6.46e-41,3.98e-40
4,10,7.20e-39,7.25e-41,3.65e-40
4,11,3.99e-39,4.85e-41,2.38e-40
4,12,2.22e-41,7.59e-43,1.68e-42
4,13,0.00e+00,0.00e+00,0.00e+00
4,14,0.00e+00,0.00e+00,0.00e+00
5,1,1.89e-40,1.01e-41,1.57e-41
5,2,7.14e-40,1.97e-41,4.95e-41
5,3,1.74e-39,2.70e-41,1.16e-40
5,4,2.90e-39,4.13e-41,1.89e-40
5,5,4.04e-39,4.91e-41,2.53e-40
5,6,5.09e-39,5.57e-41,2.95e-40
