# Stage-1 #5 coverage summary (n_toys=20)
# ix iy coverage sigma truth_mean unfolded_mean
11 15 0.5000 2.463738e-44 2.123384e-42 2.122863e-42
12 5 0.6500 2.661310e-43 3.286322e-41 3.288501e-41
12 6 0.7000 4.880747e-43 9.521492e-41 9.527517e-41
12 7 0.6500 4.046255e-43 1.091793e-40 1.092047e-40
12 8 0.6500 3.552292e-43 1.000853e-40 1.001057e-40
12 9 0.7000 3.777338e-43 8.678191e-41 8.676957e-41
12 10 0.7000 3.083173e-43 7.697337e-41 7.693156e-41
12 11 0.6500 2.671777e-43 6.986526e-41 6.982617e-41
12 12 0.7000 1.288386e-43 5.152720e-41 5.151940e-41
12 13 0.6500 9.610988e-44 3.102465e-41 3.102228e-41
12 14 0.7000 3.547396e-44 1.084643e-41 1.084128e-41
12 15 0.7000 1.098102e-44 1.356045e-42 1.356238e-42
13 8 0.7500 2.125671e-45 1.507293e-44 1.508778e-44
13 9 0.6000 1.926971e-44 8.787085e-43 8.800030e-43
13 10 0.7000 3.417557e-44 1.821702e-42 1.823846e-42
13 11 0.6000 3.923790e-44 2.346687e-42 2.349715e-42
13 12 0.6000 2.324642e-44 3.364250e-42 3.371287e-42
13 13 0.6000 2.910593e-44 3.638544e-42 3.647818e-42
13 14 0.6500 1.188144e-44 1.864371e-42 1.867989e-42
13 15 0.7000 3.194765e-45 2.382274e-43 2.387572e-43
