enu_low,enu_high,enu_center,local_cv,local_unweighted,local_cv_over_unweighted,paper_cv,paper_over_local
9.2,9.3,9.25,1.8883539426372553e-05,1.924630866224009e-05,0.9811512304913168,1.737179e-05,0.9199435343004999
9.3,9.4,9.350000000000001,1.7464878366177123e-05,1.7814872195630853e-05,0.9803538400045572,1.6193815999999984e-05,0.9272218025498129
9.4,9.5,9.45,1.6087393306663303e-05,1.6362254027253283e-05,0.9832015368950899,1.501584200000001e-05,0.9333918624206531
9.5,9.6,9.55,1.4822100625491637e-05,1.5051857704769117e-05,0.9847356330504851,1.3837867999999992e-05,0.9335969542806286
9.6,9.700000000000001,9.65,1.3618281570463584e-05,1.3820188868892744e-05,0.9853904096141823,1.2659893999999997e-05,0.9296249262063861
9.700000000000001,9.8,9.75,1.2673126840896426e-05,1.2820792429763666e-05,0.9884823352631127,1.148192e-05,0.9060052932594048
9.8,9.9,9.850000000000001,1.1633256061576194e-05,1.172291583501566e-05,0.9923517515009654,1.0786192199999991e-05,0.92718600389327
9.9,10.0,9.95,1.0650688124858416e-05,1.0681735626059328e-05,0.9970934029554928,1.0090464400000006e-05,0.947400231957702
10.0,10.5,10.25,8.84711608972424e-06,8.747499058725244e-06,1.011388058498804,8.003281e-06,0.9046203213378947
10.5,11.0,10.75,6.535471557019889e-06,6.239624337347369e-06,1.04741426785932,5.898662e-06,0.9025610391746135
11.0,11.5,11.25,5.043444025368654e-06,4.7095162913563776e-06,1.0709048898769395,4.541719e-06,0.9005193627915837
11.5,12.0,11.75,4.142447643654582e-06,3.7294747242724044e-06,1.1107321941866077,3.735824e-06,0.90183976271192
