bytes	mtime_epoch	mime	shape	category	lane	git_blob	blob_in_canonical	cited_in_canonical_records	inspection	path
953045	1786035048	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	7c386e8cfa764ecb58da5345ab6818b2f00fa569	False			nd-unfolding/p3f_pet_fullevent/work/MuonResolution_1_1N/p3f_pet_validation_MuonResolution_1_1N.json.domain.json
947260	1786035048	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	e94ca5a2fc3c94ad17acd3c5a8a1db48d7d552b6	False			nd-unfolding/p3f_pet_fullevent/work/Muon_Energy_MINOS_0_1N/p3f_pet_validation_Muon_Energy_MINOS_0_1N.json.domain.json
892025	1786035048	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	a2aedd8d1914155692f322e4c526a21d688cd707	False			nd-unfolding/p3f_pet_fullevent/work/Muon_Energy_MINOS_1_1E/p3f_pet_validation_Muon_Energy_MINOS_1_1E.json.domain.json
886798	1786035048	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	f087e455f94c8096f624a89972504793976dc3dd	False			nd-unfolding/p3f_pet_fullevent/work/MuonResolution_0_1E/p3f_pet_validation_MuonResolution_0_1E.json.domain.json
883450	1786035047	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	7fe93ccef358cadac5fa926866caad8e40027469	False			nd-unfolding/p3f_pet_fullevent/work/BeamAngleX_0_1E/p3f_pet_validation_BeamAngleX_0_1E.json.domain.json
883110	1786035048	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	b8e48acef9110fdd9bcebf37eff49730001f131f	False			nd-unfolding/p3f_pet_fullevent/work/BeamAngleY_1_1E/p3f_pet_validation_BeamAngleY_1_1E.json.domain.json
883043	1786035047	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	9a7241a175b9b7fd7d4896ff01f395514bb95e51	False			nd-unfolding/p3f_pet_fullevent/work/BeamAngleX_1_1E/p3f_pet_validation_BeamAngleX_1_1E.json.domain.json
883001	1786035048	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	5b5aeb7618301b7f49bc12817947eeddc153e86c	False			nd-unfolding/p3f_pet_fullevent/work/BeamAngleY_0_1E/p3f_pet_validation_BeamAngleY_0_1E.json.domain.json
882751	1786035048	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	e8fd88f0dcf5d7dbb3dfd994ab005bb813d85c81	False			nd-unfolding/p3f_pet_fullevent/work/Muon_Energy_MINERvA_1_1E/p3f_pet_validation_Muon_Energy_MINERvA_1_1E.json.domain.json
882250	1786035048	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	5db83666c2311cf60b9da81027ab72541d71f8aa	False			nd-unfolding/p3f_pet_fullevent/work/Muon_Energy_MINERvA_0_1E/p3f_pet_validation_Muon_Energy_MINERvA_0_1E.json.domain.json
