pt_low,pt_high,paper_pt_low,paper_pt_high,pz_low,pz_high,reported,ours,published,ratio
0.85,1.0,0.85,1.0,2.0,2.5,True,5.341974866270104e-40,4.924417889008533e-40,1.084793164729901
0.85,1.0,0.85,1.0,2.5,3.0,True,6.465143409477664e-39,6.42371535634607e-39,1.0064492355021097
0.85,1.0,0.85,1.0,3.0,3.5,True,7.126462763160202e-39,7.200910959575189e-39,0.9896612807972591
0.85,1.0,0.85,1.0,3.5,4.0,True,6.558098921133075e-39,6.510808532810185e-39,1.0072633664597228
0.85,1.0,0.85,1.0,4.0,4.5,True,5.885264578303231e-39,5.8348784324041575e-39,1.0086353377337312
0.85,1.0,0.85,1.0,4.5,5.0,True,5.097156288820053e-39,5.0196476080032305e-39,1.0154410601838353
0.85,1.0,0.85,1.0,5.0,6.0,True,3.780913348742871e-39,3.707316445788256e-39,1.019851799551189
0.85,1.0,0.85,1.0,6.0,7.0,True,2.1839290480830908e-39,2.1420245274130242e-39,1.0195630442760035
0.85,1.0,0.85,1.0,7.0,8.0,True,1.1258909966279334e-39,1.118309788065263e-39,1.006779166777916
0.85,1.0,0.85,1.0,8.0,9.0,True,6.164621818394496e-40,6.1735936450376246e-40,0.9985467416291093
0.85,1.0,0.85,1.0,9.0,10.0,True,3.717041357904927e-40,3.7800446180646635e-40,0.9833326675937509
0.85,1.0,0.85,1.0,10.0,15.0,True,1.7348174875555186e-40,1.70013365149273e-40,1.0204006526383005
0.85,1.0,0.85,1.0,15.0,20.0,True,7.515411572736872e-41,7.53723424787084e-41,0.9971046839707639
0.85,1.0,0.85,1.0,20.0,40.0,True,2.1098374091083203e-41,2.0562525425013906e-41,1.0260594773741871
0.85,1.0,0.85,1.0,40.0,60.0,True,3.826554021375588e-42,3.506757653448187e-42,1.0911943166682607
1.0,1.25,1.0,1.25,1.5,2.0,False,0.0,0.0,nan
1.0,1.25,1.0,1.25,2.0,2.5,False,0.0,0.0,nan
1.0,1.25,1.0,1.25,2.5,3.0,True,5.97375939844142e-40,6.1292800827450024e-40,0.9746265985231446
1.0,1.25,1.0,1.25,3.0,3.5,True,3.8533539303837875e-39,3.98514477417879e-39,0.9669294715090595
1.0,1.25,1.0,1.25,3.5,4.0,True,4.6167947154842486e-39,4.659133596631908e-39,0.9909127136473901
1.0,1.25,1.0,1.25,4.0,4.5,True,4.096409118736698e-39,4.089715757546087e-39,1.0016366323694406
1.0,1.25,1.0,1.25,4.5,5.0,True,3.434298441363414e-39,3.391368968365465e-39,1.0126584495519044
1.0,1.25,1.0,1.25,5.0,6.0,True,2.427107810282648e-39,2.299578247818197e-39,1.0554578051803407
1.0,1.25,1.0,1.25,6.0,7.0,True,1.370541331830716e-39,1.3369171022931314e-39,1.0251505717743539
1.0,1.25,1.0,1.25,7.0,8.0,True,7.388171400460686e-40,7.449456139751532e-40,0.9917732599345312
1.0,1.25,1.0,1.25,8.0,9.0,True,4.454534163163947e-40,4.3994741704419475e-40,1.0125151303516957
1.0,1.25,1.0,1.25,9.0,10.0,True,2.9980651309670924e-40,3.0146244681044742e-40,0.994506998363284
1.0,1.25,1.0,1.25,10.0,15.0,True,1.6030591881284246e-40,1.5901724749611626e-40,1.008103971971705
1.0,1.25,1.0,1.25,15.0,20.0,True,7.41274380628066e-41,7.296785336649743e-41,1.0158917200220337
1.0,1.25,1.0,1.25,20.0,40.0,True,2.1397394313011544e-41,2.0380431207171164e-41,1.0498989984805889
1.0,1.25,1.0,1.25,40.0,60.0,True,3.8717178065898346e-42,3.443315033734099e-42,1.1244157936926134
1.25,1.5,1.25,1.5,1.5,2.0,False,0.0,0.0,nan
1.25,1.5,1.25,1.5,2.0,2.5,False,0.0,0.0,nan
