JobID|JobIDRaw|JobName|Account|QOS|Partition|State|ExitCode|Submit|Start|End|ElapsedRaw|NNodes|NCPUS|AllocTRES|WorkDir
58552475|58552475|pet-matched-timing|m3246_g|gpu_shared|shared_gpu_ss11|CANCELLED by 112498|0:0|2026-09-18T17:23:57|2026-09-18T17:25:39|2026-09-18T17:27:34|115|1|32|billing=32,cpu=32,energy=85693,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1|/pscratch/sd/j/josephrb/pet-cal-gpu-20260918
58552476|58552476|pet-region-census|m3246|shared|shared_milan_ss11|CANCELLED by 112498|0:0|2026-09-18T17:24:00|None|2026-09-18T17:27:34|0|1|0||/pscratch/sd/j/josephrb/pet-cal-gpu-20260918
58552592|58552592|pet-matched-timing|m3246_g|gpu_shared|shared_gpu_ss11|FAILED|134:0|2026-09-18T17:28:41|2026-09-18T17:30:32|2026-09-18T17:35:21|289|1|32|billing=32,cpu=32,energy=252730,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1|/pscratch/sd/j/josephrb/pet-cal-gpu-20260918
58552598|58552598|pet-region-census|m3246|shared|shared_milan_ss11|CANCELLED by 112498|0:0|2026-09-18T17:28:47|None|2026-09-18T17:37:40|0|1|0||/pscratch/sd/j/josephrb/pet-cal-gpu-20260918
58552755|58552755|pet-matched-timing|m3246_g|gpu_shared|shared_gpu_ss11|COMPLETED|0:0|2026-09-18T17:37:23|2026-09-18T17:39:42|2026-09-18T18:11:52|1930|1|32|billing=32,cpu=32,energy=1764500,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1|/pscratch/sd/j/josephrb/pet-cal-gpu-20260918
58552758|58552758|pet-region-census|m3246|shared|shared_milan_ss11|COMPLETED|0:0|2026-09-18T17:37:42|2026-09-18T17:54:58|2026-09-18T17:55:30|32|1|10|billing=10,cpu=10,energy=18361,mem=16G,node=1|/pscratch/sd/j/josephrb/pet-cal-gpu-20260918
58563735|58563735|pet-port-profile|m3246_g|gpu_shared|shared_gpu_ss11|CANCELLED by 112498|0:0|2026-09-18T20:37:28|2026-09-18T20:38:44|2026-09-18T20:41:37|173|1|32|billing=32,cpu=32,energy=155264,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1|/pscratch/sd/j/josephrb/pet-profile-exec-20260919
58564110|58564110|pet-port-profile|m3246_g|gpu_shared|shared_gpu_ss11|CANCELLED by 112498|0:0|2026-09-18T20:45:21|2026-09-18T20:47:11|2026-09-18T21:12:00|1489|1|32|billing=32,cpu=32,energy=1457792,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1|/pscratch/sd/j/josephrb/pet-profile2-exec-20260919
58565179|58565179|pet-port-profile|m3246_g|gpu_shared|shared_gpu_ss11|CANCELLED by 112498|0:0|2026-09-18T21:12:25|None|2026-09-18T21:12:44|0|1|0||/pscratch/sd/j/josephrb/pet-profile4-exec-20260919
58565265|58565265|pet-port-profile|m3246_g|gpu_shared|shared_gpu_ss11|CANCELLED by 112498|0:0|2026-09-18T21:14:38|2026-09-18T21:15:54|2026-09-18T21:49:29|2015|1|32|billing=32,cpu=32,energy=2048733,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1|/pscratch/sd/j/josephrb/pet-profile5-exec-20260919
