JobID|QOS|Submit|Start|State|ElapsedRaw|AllocTRES
58552755|gpu_shared|2026-09-18T17:37:23|2026-09-18T17:39:42|COMPLETED|1930|billing=32,cpu=32,energy=1764500,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1
58552758|shared|2026-09-18T17:37:42|2026-09-18T17:54:58|COMPLETED|32|billing=10,cpu=10,energy=18361,mem=16G,node=1
58552853|shared|2026-09-18T17:43:59|2026-09-18T18:08:58|FAILED|16|billing=52,cpu=52,mem=96G,node=1
58553718|shared|2026-09-18T18:10:56|2026-09-18T18:15:06|COMPLETED|332|billing=52,cpu=52,energy=164526,mem=96G,node=1
58562627|regular_1|2026-09-18T20:13:41|2026-09-18T20:47:16|FAILED|13|billing=256,cpu=256,mem=487802M,node=1
58563513|regular_1|2026-09-18T20:32:00|None|CANCELLED by 112498|0|
58563677|regular_1|2026-09-18T20:36:03|None|CANCELLED by 112498|0|
58563735|gpu_shared|2026-09-18T20:37:28|2026-09-18T20:38:44|CANCELLED by 112498|173|billing=32,cpu=32,energy=155264,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1
58564110|gpu_shared|2026-09-18T20:45:21|2026-09-18T20:47:11|CANCELLED by 112498|1489|billing=32,cpu=32,energy=1457792,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1
58564281|regular_1|2026-09-18T20:50:17|2026-09-18T21:19:54|COMPLETED|99|billing=256,cpu=256,energy=28157,mem=487802M,node=1
58564446|regular_1|2026-09-18T20:52:55|2026-09-18T21:21:21|COMPLETED|37|billing=256,cpu=256,energy=9354,mem=487802M,node=1
58565179|gpu_shared|2026-09-18T21:12:25|None|CANCELLED by 112498|0|
58565265|gpu_shared|2026-09-18T21:14:38|2026-09-18T21:15:54|CANCELLED by 112498|2015|billing=32,cpu=32,energy=2048733,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1
58565755|regular_1|2026-09-18T21:29:03|2026-09-18T22:28:44|COMPLETED|77|billing=256,cpu=256,energy=17642,mem=487802M,node=1
